gene	up1	up2	up3
POLA1	enr1	enr2	NA
POLD1	enr1	enr2	NA
POLR2B	enr1	NA	NA
POP7	enr1	NA	NA
PPM1F	enr1	NA	NA
PPME1	enr1	enr2	NA
PPP1CA	enr1	enr2	enr3
PPP1CC	enr1	NA	NA
PPP2R5E	enr1	NA	NA
PPP6C	enr1	enr2	enr3
PPP6R1	enr1	enr2	NA
PPP6R2	enr1	NA	NA
PPP6R3	enr1	enr2	enr3
PRDX6	NA	NA	enr3
PRIM1	NA	enr2	NA
PRKAG1	enr1	enr2	NA
PRKDC	enr1	NA	enr3
PRMT1	NA	enr2	enr3
PRMT7	enr1	enr2	enr3
PRPF31	enr1	enr2	NA
PRPF8	NA	enr2	enr3
PRPS2	NA	NA	enr3
PRRC2A	enr1	enr2	enr3
PRRC2C	enr1	enr2	enr3
PRSS3P2	NA	NA	enr3
PRUNE	enr1	enr2	enr3
PSMC1	enr1	enr2	NA
PSMC2	enr1	enr2	enr3
PSMC4	NA	NA	enr3
PSMC5	NA	NA	enr3
PSMD11	enr1	enr2	enr3
PSMD12	NA	enr2	NA
PSMD2	NA	NA	enr3
PSMD3	NA	NA	enr3
PSMD4	enr1	enr2	NA
PSMD8	enr1	enr2	NA
PTPN11	enr1	enr2	enr3
PTPN13	enr1	enr2	NA
PTPN14	enr1	enr2	NA
PUM1	enr1	enr2	enr3
PXN	enr1	enr2	NA
PYGB	enr1	enr2	enr3
RAB14	enr1	NA	NA
RAB3GAP2	enr1	enr2	NA
RAB5A	enr1	NA	NA
RABL6	enr1	enr2	NA
RAI14	enr1	enr2	NA
RANBP1	enr1	enr2	NA
RANBP2	enr1	enr2	enr3
RANBP3	enr1	enr2	enr3
RANGAP1	enr1	enr2	enr3
RAPGEF6	enr1	enr2	NA
RBBP7	NA	enr2	NA
RBFOX2	enr1	NA	NA
RBM15	NA	NA	enr3
RELA	enr1	enr2	NA
RHOT2	enr1	NA	NA
RNASEH2C	NA	enr2	NA
RPAP3	enr1	enr2	enr3
RPL14	NA	NA	enr3
RPL19	NA	NA	enr3
RPL22	enr1	enr2	enr3
RPL29	enr1	enr2	NA
RPL31	NA	NA	enr3
RPL36	NA	enr2	NA
RPL38	NA	NA	enr3
RPL5	NA	NA	enr3
RPL9	NA	NA	enr3
RPLP1	NA	NA	enr3
RPLP2	NA	NA	enr3
RPN1	enr1	NA	NA
RPP25L	enr1	NA	NA
RPS10	enr1	enr2	enr3
