Majority.protein.IDs	Gene.names	iBAQ.L.Cyto_4h_Forward_1	iBAQ.M.Cyto_4h_Forward_1	iBAQ.H.Cyto_4h_Forward_1	iBAQ.L.Cyto_4h_Forward_2	iBAQ.M.Cyto_4h_Forward_2	iBAQ.H.Cyto_4h_Forward_2	iBAQ.L.Cyto_4h_Reverse_1	iBAQ.M.Cyto_4h_Reverse_1	iBAQ.H.Cyto_4h_Reverse_1	iBAQ.L.Cyto_4h_Reverse_2	iBAQ.M.Cyto_4h_Reverse_2	iBAQ.H.Cyto_4h_Reverse_2	iBAQ.L.Memb_4h_Forward_1	iBAQ.M.Memb_4h_Forward_1	iBAQ.H.Memb_4h_Forward_1	iBAQ.L.Memb_4h_Forward_2	iBAQ.M.Memb_4h_Forward_2	iBAQ.H.Memb_4h_Forward_2	iBAQ.L.Memb_4h_Reverse_1	iBAQ.M.Memb_4h_Reverse_1	iBAQ.H.Memb_4h_Reverse_1	iBAQ.L.Memb_4h_Reverse_2	iBAQ.M.Memb_4h_Reverse_2	iBAQ.H.Memb_4h_Reverse_2	Ratio.H.M.normalized.Cyto_4h_Forward_1	Ratio.H.M.normalized.Cyto_4h_Forward_2	Ratio.H.M.normalized.Cyto_4h_Reverse_1	Ratio.H.M.normalized.Cyto_4h_Reverse_2	Ratio.H.M.normalized.Memb_4h_Forward_1	Ratio.H.M.normalized.Memb_4h_Forward_2	Ratio.H.M.normalized.Memb_4h_Reverse_1	Ratio.H.M.normalized.Memb_4h_Reverse_2
Q9HCG8	CWC22	NA	NA	NA	20.0104516158462	20.2264686410417	19.9087385690143	NA	NA	NA	21.4463725548959	19.699850305817	18.8422705352614	22.55370240769	21.3913673726958	20.3176069292128	22.7150461777086	22.6871612167084	22.1477750739784	22.2885856219787	20.5171080326769	18.7393191477626	22.2243208754956	21.7341340466321	20.3279472963038	NA	NA	NA	NA	NA	-0.381009647088652	NA	-1.56153680334395
Q9HCI7	MSL2	NA	NA	NA	17.4794329348135	NA	NA	NA	NA	NA	19.2263510380222	19.2289830506853	16.308036777762	19.5165310700453	NA	NA	21.7639320302725	22.5808161229848	24.4429100952452	19.7979622670409	22.9896079300074	19.447482825035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HCJ0	TNRC6C	NA	NA	NA	NA	NA	NA	15.3302866815182	11.8474489039824	11.6255262118799	NA	NA	NA	15.1552530666536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HCJ1	ANKH	NA	NA	NA	18.0739427941158	NA	NA	NA	NA	NA	19.3149991557232	18.1357092861044	23.7033485294024	NA	NA	NA	17.2321023418195	NA	NA	18.9162818603674	18.0110524998006	19.0151700086424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HCJ3	RAVER2	20.7759542223267	22.9770639626446	21.9090316805636	21.3514310197017	20.6762463586412	19.1192349821677	21.9412740416078	23.2179322644239	21.9190349709179	22.0032282833541	22.0168572441412	20.0326807277983	19.9591472967985	15.5526390810768	14.9025635419716	21.4277240930778	19.3948771352423	19.6535448687324	21.6454403118601	23.0120898011557	22.6199727577216	19.9633871951505	19.2758289643096	19.551047315546	-1.26132726533325	1.03238300531165	-0.752728682352942	-0.522799332654942	NA	NA	-1.1850476876331	NA
Q9HCK8	CHD8	NA	NA	NA	21.4425811085921	19.6190593138201	21.3252593335116	NA	NA	NA	22.6232367244644	21.7081779386639	22.6510806045098	23.7702178527776	23.2490173630753	22.5054520213826	23.8608861642359	23.7807672210889	23.8556684549649	23.9078405442646	22.9982261127269	22.8921358806986	22.9828710580248	22.9796826648826	21.9169961344031	NA	-0.128203653742884	NA	-0.0149368162633624	-0.0408382043661603	0.218099174370145	-0.0646760416475746	0.180657107560076
Q9HCL2	GPAM	NA	NA	NA	19.6834093043766	18.24678698069	20.70598667343	NA	NA	NA	20.3390844812705	18.2592099504554	19.2239027192346	20.4939453334952	19.2456501873754	18.3744112388239	20.6187188632689	19.1763095253496	22.0584423359812	20.1907506496624	18.0213378779577	18.2935614552461	20.3506759361085	20.5413235314966	20.259600759628	NA	NA	NA	-0.0850528495204231	NA	1.18732435735201	NA	NA
Q9HCM4	EPB41L5	NA	NA	NA	20.5981433929032	20.2488726376861	19.3330024402985	NA	NA	NA	21.9581916000106	21.7730989523902	20.1385867952698	23.4346628384815	22.2364884141521	24.1217093006887	22.9114110068919	21.213059115726	20.5565584424226	22.0347976195053	21.8058147080488	23.7248402238223	22.1487062054428	20.9389076153323	19.2251509393209	NA	0.105678077894537	NA	0.229464873140092	NA	0.321581806521283	NA	-1.60410364039973
Q9HCN4	GPN1	25.9609551938663	23.5348091550697	22.0483990656509	26.1877300716329	23.3497585172699	22.659140557344	26.237757884896	23.6255572465437	22.9379563661029	26.272593622842	23.6079488247911	22.9204713478377	22.9884295123709	20.6092797555849	21.6945126263587	21.6641851027924	17.7099453802325	18.9304139513827	23.8256102206958	22.206158247975	22.0089141258701	20.2998340522617	17.8626010379126	20.627651434935	-0.775441041706689	0.155878732704143	0.0306892040711404	-0.226594372717465	0.0814759815979586	NA	-1.32698638471039	NA
Q9HCN8	SDF2L1	NA	NA	NA	23.9235211755375	21.0301228765449	20.070514067248	NA	NA	NA	25.5632840336695	21.7448059223205	21.0243172548637	25.9733153202778	22.1555470830146	21.7716893427857	26.5328193739307	23.1181008202726	22.9929991698219	26.3626900418506	22.384084935636	22.0683505651566	26.0258891036201	22.6426889874401	22.9738977204764	NA	NA	NA	NA	-0.215378763602745	NA	-0.0710422951423849	-0.376545128062997
Q9HCS7	XAB2	NA	NA	NA	21.6245759426814	20.4886600133229	19.6235850408109	NA	NA	NA	24.6882182887352	21.6723666373656	22.6497438524453	24.0737369079464	22.6196146133542	21.5559502531787	24.2079163423445	22.5750553818861	23.7473489119064	23.6085129284311	21.8945247097946	23.7116686538041	23.1244097502951	21.4967270212012	22.9430463174876	NA	0.205517632892707	NA	-0.0411350582527186	NA	0.142217361803823	NA	0.11169907219742
Q9HCU5	PREB	NA	NA	NA	23.9366091860247	20.3629240908977	21.9843322265337	NA	NA	NA	24.8799358009089	25.0334287150261	22.7021016475557	25.2731630000393	23.3967594572502	22.3469757118487	25.9794995103663	25.6221812144476	24.0800959944846	25.6216783190799	23.8276466247212	22.7681188878388	25.0953088039999	24.5466905531482	22.9143340319078	NA	NA	NA	-0.300430600406007	NA	-0.040407874697963	NA	-0.142385197394719
Q9HD15	SRA1	25.5017278709603	23.6290088049153	24.4935667070373	25.1395004543942	23.4113165036904	24.459139406157	25.5384549086001	24.9077488776482	24.2789507606393	25.4438586750945	23.9689507913273	25.7748741068969	22.0712345142247	19.0636320699886	19.0981554833946	26.4609366508846	22.275431159754	21.9405931954612	22.9475120949158	19.8387207499171	20.3755994804826	NA	NA	NA	0.118359725953057	0.871291692375117	0.0761485971800829	0.176705738189114	0.0969364825029571	NA	-0.0708301385636487	NA
Q9HD20	ATP13A1	NA	NA	NA	22.9425810820624	21.6810170235839	21.5283606274221	NA	NA	NA	26.6932527629264	25.2339972989503	24.4684917988265	25.6863224824287	25.0196253392027	24.5527999431263	25.3456025958034	24.5809540985057	24.9733372192758	24.8770826366112	24.2004520508547	23.5486319132124	24.7697640085834	23.0963709345215	24.124867220393	NA	-0.135855465004449	NA	-0.0230938516303069	0.0805212318314924	0.27953072572999	-0.893196093993903	-0.50538982450969
Q9HD23	MRS2	NA	NA	NA	21.3392476236262	18.6725565553948	19.4851060192915	NA	NA	NA	22.0905518204846	21.7363655939307	22.4717446646438	23.3671971633763	21.9770115400853	23.7172237362	23.5669747218649	22.6250666780464	22.0069642834334	22.6586612783746	21.8884430128718	21.9236118454958	23.0965961344436	20.6908096410815	21.5619274413769	NA	NA	NA	NA	NA	NA	NA	-0.481928209216493
Q9HD26	GOPC	24.2705633884014	22.1705082486817	21.444756089695	23.971057941226	22.2124061379359	21.5556694639523	24.1924975092811	23.5731145984117	23.1370705628224	24.1277034500893	23.31589472801	22.0755822984123	22.3563831902145	20.3591747421061	21.1053995848919	21.2878814354691	22.039791910498	19.1818995837157	22.9398044456677	20.4457665926718	19.9678960611419	18.7492409390223	15.8666752379645	16.5011996464629	-0.446423231505952	NA	-0.131139426468404	NA	-0.350780043027055	NA	-0.344446666153201	NA
Q9HD33	MRPL47	NA	NA	NA	25.4613270601702	21.7335549334388	22.248148792886	NA	NA	NA	26.228815021528	22.2699359312726	22.3610774153003	27.3786517955338	24.4646958039048	24.1637688180377	27.2110398649686	24.6246094072139	24.3192757495734	27.6620726718541	24.7885542591064	24.427711307252	26.7096456988595	23.4974094230847	23.589780052076	NA	-0.304807906855655	NA	0.206893236121771	-0.154024281664407	-0.429537068973959	-0.107601202013035	-0.264321864102058
Q9HD34	LYRM4	NA	NA	NA	24.381658065126	20.8142507420888	20.5331700121591	NA	NA	NA	25.3182760683706	21.7076725573973	25.4728046061822	25.9763123905486	24.871218300614	25.1140225164737	26.4519436701835	25.6402800254288	24.7150776081742	26.3631079599442	25.7232263834639	24.0856980701144	25.1642293261144	24.9038936108813	21.8760897223202	NA	-0.0189949507132422	NA	NA	NA	NA	NA	-1.55012701050309
Q9HD40	SEPSECS	NA	NA	NA	18.1493204231662	NA	NA	19.8521667662534	17.2235492532335	20.4944337369803	18.3386493447747	NA	NA	17.1182719520837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HD42	CHMP1A	26.509103140765	23.6191892014091	23.4272637319482	25.4928335992303	23.1339706178643	24.3526571882803	25.4864643447432	22.390160557476	22.6212032013279	25.5521256564081	22.2935614552461	23.1517901632107	22.9441551199784	21.070514067248	19.6976972443153	16.6829123108613	14.5105169405947	NA	23.9807636749464	21.2292882413677	20.7936033092794	19.4778531109139	18.6202413076633	16.9804743226132	0.023752135898995	0.460690148848735	-0.0339535149153335	0.303225477672089	NA	NA	-0.103890935907899	NA
