gene_id	tsig
ENSG00000062582	MitoCarta
ENSG00000183978	MitoCarta
ENSG00000104687	MitoCarta
ENSG00000167136	MitoCarta
ENSG00000105552	MitoCarta
ENSG00000172171	MitoCarta
ENSG00000167107	MitoCarta
ENSG00000100416	MitoCarta
ENSG00000175110	MitoCarta
ENSG00000002549	MitoCarta
ENSG00000148672	MitoCarta
ENSG00000117305	MitoCarta
ENSG00000189283	MitoCarta
ENSG00000090263	MitoCarta
ENSG00000151413	MitoCarta
ENSG00000083099	MitoCarta
ENSG00000156968	MitoCarta
ENSG00000179271	MitoCarta
ENSG00000108064	MitoCarta
ENSG00000059573	MitoCarta
ENSG00000151093	MitoCarta
ENSG00000137944	MitoCarta
ENSG00000143374	MitoCarta
ENSG00000136270	MitoCarta
ENSG00000164983	MitoCarta
ENSG00000125995	MitoCarta
ENSG00000126432	MitoCarta
ENSG00000120675	MitoCarta
ENSG00000162972	MitoCarta
ENSG00000181061	MitoCarta
ENSG00000174109	MitoCarta
ENSG00000140983	MitoCarta
ENSG00000160785	MitoCarta
ENSG00000116882	MitoCarta
ENSG00000155463	MitoCarta
ENSG00000164209	MitoCarta
ENSG00000240857	MitoCarta
ENSG00000156411	MitoCarta
ENSG00000169239	MitoCarta
ENSG00000068120	MitoCarta
ENSG00000230055	MitoCarta
ENSG00000100577	MitoCarta
ENSG00000160471	MitoCarta
ENSG00000167699	MitoCarta
ENSG00000060971	MitoCarta
ENSG00000005469	MitoCarta
ENSG00000258429	MitoCarta
ENSG00000240230	MitoCarta
ENSG00000145020	MitoCarta
ENSG00000090857	MitoCarta
ENSG00000123213	MitoCarta
ENSG00000178096	MitoCarta
ENSG00000158578	MitoCarta
ENSG00000164284	MitoCarta
ENSG00000164904	MitoCarta
ENSG00000069998	MitoCarta
ENSG00000127554	MitoCarta
ENSG00000184903	MitoCarta
ENSG00000131055	MitoCarta
ENSG00000154719	MitoCarta
ENSG00000109576	MitoCarta
ENSG00000165775	MitoCarta
ENSG00000120992	MitoCarta
ENSG00000163114	MitoCarta
ENSG00000112031	MitoCarta
ENSG00000130299	MitoCarta
ENSG00000163738	MitoCarta
ENSG00000136758	MitoCarta
ENSG00000119673	MitoCarta
ENSG00000256053	MitoCarta
ENSG00000139428	MitoCarta
ENSG00000143224	MitoCarta
ENSG00000117528	MitoCarta
ENSG00000142082	MitoCarta
ENSG00000166816	MitoCarta
ENSG00000174100	MitoCarta
ENSG00000130921	MitoCarta
ENSG00000148950	MitoCarta
ENSG00000140521	MitoCarta
ENSG00000123472	MitoCarta
