distance	id	tc	localization_cat	tc_region	hval_cat
25	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
26	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
27	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
28	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
29	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
30	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
31	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
32	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
33	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
34	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
35	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
36	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
37	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
38	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
39	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
40	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-40	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-39	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-38	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-37	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-36	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-35	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-34	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-33	cytosolic;utr3;hval_midhi	0.161162415901358	cytosolic	utr3	hval_midhi
-32	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-31	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-30	cytosolic;utr3;hval_midhi	0.0690696068148679	cytosolic	utr3	hval_midhi
-29	cytosolic;utr3;hval_midhi	0.0409301373717735	cytosolic	utr3	hval_midhi
-28	cytosolic;utr3;hval_midhi	0.0332557366145659	cytosolic	utr3	hval_midhi
-27	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-26	cytosolic;utr3;hval_midhi	0.0127906679286792	cytosolic	utr3	hval_midhi
-25	cytosolic;utr3;hval_midhi	0.0281394694430943	cytosolic	utr3	hval_midhi
-24	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-23	cytosolic;utr3;hval_midhi	0.0127906679286792	cytosolic	utr3	hval_midhi
-22	cytosolic;utr3;hval_midhi	0.0102325343429434	cytosolic	utr3	hval_midhi
-21	cytosolic;utr3;hval_midhi	0.156046148729887	cytosolic	utr3	hval_midhi
-20	cytosolic;utr3;hval_midhi	0.0153488015144151	cytosolic	utr3	hval_midhi
-19	cytosolic;utr3;hval_midhi	0.0102325343429434	cytosolic	utr3	hval_midhi
-18	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-17	cytosolic;utr3;hval_midhi	0.0434882709575094	cytosolic	utr3	hval_midhi
-16	cytosolic;utr3;hval_midhi	0.0102325343429434	cytosolic	utr3	hval_midhi
-15	cytosolic;utr3;hval_midhi	0.0409301373717736	cytosolic	utr3	hval_midhi
-14	cytosolic;utr3;hval_midhi	0.122790412115321	cytosolic	utr3	hval_midhi
-13	cytosolic;utr3;hval_midhi	0.0767440075720754	cytosolic	utr3	hval_midhi
-12	cytosolic;utr3;hval_midhi	0.0716277404006037	cytosolic	utr3	hval_midhi
-11	cytosolic;utr3;hval_midhi	0.143255480801207	cytosolic	utr3	hval_midhi
-10	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-9	cytosolic;utr3;hval_midhi	0.107441610600906	cytosolic	utr3	hval_midhi
-8	cytosolic;utr3;hval_midhi	0.066511473229132	cytosolic	utr3	hval_midhi
-7	cytosolic;utr3;hval_midhi	0.145813614386943	cytosolic	utr3	hval_midhi
-6	cytosolic;utr3;hval_midhi	0.158604282315622	cytosolic	utr3	hval_midhi
-5	cytosolic;utr3;hval_midhi	0.0358138702003019	cytosolic	utr3	hval_midhi
-4	cytosolic;utr3;hval_midhi	0.194418152515924	cytosolic	utr3	hval_midhi
-3	cytosolic;utr3;hval_midhi	0.250697091402113	cytosolic	utr3	hval_midhi
-2	cytosolic;utr3;hval_midhi	0.360696835588755	cytosolic	utr3	hval_midhi
-1	cytosolic;utr3;hval_midhi	0.33255736614566	cytosolic	utr3	hval_midhi
0	cytosolic;utr3;hval_midhi	1.16906704868128	cytosolic	utr3	hval_midhi
1	cytosolic;utr3;hval_midhi	0.243022690644906	cytosolic	utr3	hval_midhi
2	cytosolic;utr3;hval_midhi	0.225115755544754	cytosolic	utr3	hval_midhi
3	cytosolic;utr3;hval_midhi	0.0741858739863396	cytosolic	utr3	hval_midhi
4	cytosolic;utr3;hval_midhi	0.0767440075720754	cytosolic	utr3	hval_midhi
5	cytosolic;utr3;hval_midhi	0.112557877772377	cytosolic	utr3	hval_midhi
6	cytosolic;utr3;hval_midhi	0.0818602747435471	cytosolic	utr3	hval_midhi
7	cytosolic;utr3;hval_midhi	0.194418152515924	cytosolic	utr3	hval_midhi
8	cytosolic;utr3;hval_midhi	0.173953083830038	cytosolic	utr3	hval_midhi
9	cytosolic;utr3;hval_midhi	0.168836816658566	cytosolic	utr3	hval_midhi
